OBJECTID,LOCATION,LAT,LON,LOCATION_T
1,HAWTHRONE ST 1 P/W/BROOKLYN AV,40.65831,-73.94406,Outdoor
2,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,Outdoor
3,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,Outdoor
4,HAWTHRONE ST 1 P/S/O BROOKLYN AV,40.65743,-73.94716,Outdoor
5,HAWTHRONE ST 1 P/S/O/BROOKLYN AV,40.65743,-73.94716,Outdoor
6,MIDDLETOWN RD 1/P/W/O DWIGHT PL,40.846314,-73.824472,Outdoor
7,MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL,40.847596,-73.82223,Outdoor
8,C/O MIDDLETOWN RD  /OHM AV,40.848159,-73.821071,Outdoor
9,MIDDLETOWN RD   1/P/W/O STADIUM AV,40.848322,-73.82075,Outdoor
10,IN PARK POLE 4/P/N/O  STADIUM AV,40.849233,-73.82105,Outdoor
11,IN PARK POLE 4/P/N/O  STADIUM AV,40.849196,-73.821055,Outdoor
12,IN PARK POLE 6/P/N/O  STADIUM AV,40.850208,-73.821752,Outdoor
13,IN PARK POLE 6/P/N/O  STADIUM AV,40.850232,-73.821777,Outdoor
14,right side of bandshell,40.864437,-73.894553,Outdoor
15,left side of bandshell,40.864458,-73.895115,Outdoor
16,Playground area,40.864781,-73.894626,Outdoor
17,North area facing Poe cottage,40.865167,-73.894227,Outdoor
18,SNACK BAR  NORTH WEST CORNER,40.650721,-73.968489,Outdoor
19,SNACK BAR  SOUTH WEST CORNER,40.65068,-73.96846,Outdoor
20,SNACK BAR  NORTH EASTCORNER,40.650738,-73.968429,Outdoor
21,SNACK BAR  SOUTH EASTCORNER,40.6507,-73.965843,Outdoor
22,BEHIND BOAT HOUSE  BTWN M-118 & M-119,40.660469,-73.965168,Outdoor
23,BEHIND BOAT HOUSE  BTWN M-205 & M-206,40.660842,-73.965121,Outdoor
24,"NORTH BOAT HOUSE, ON THE LAWN ACROSS FROM M-200",40.661197,-73.965252,Outdoor
25,Skate Rental Area,40.657452,-73.963991,Outdoor
26,Skate Rental Area,40.657452,-73.963991,Outdoor
27,Skate Rental Area,40.657452,-73.963991,Outdoor
28,SKATEING RINK PARTY ROOM,40.657001,-73.963697,Indoor
29,SKATEING RINK PARTY ROOM,40.657001,-73.963697,Indoor
30,SKATEING RINK PARTY ROOM,40.657001,-73.963697,Indoor
31,SKATING  RINK CAFÉ,40.657001,-73.963697,Indoor
32,BIRCHAll AV INDOOR LOBBY,40.84459,-73.8598,Indoor
33,BIRCHAll AV 6/P/E/O SAGAMORE ST,40.84459,-73.8598,Outdoor
34,ON ROOF OF PARKS BLDG RIGHT SIDE,40.685043,-73.918933,Outdoor
35,ON ROOF OF PARKS BLDG LEFT SIDE,40.685032,-73.91907,Outdoor
36,SETON AV 5/P/S/O E 233RD ST,40.887637,-73.835951,Outdoor
37,C/O  E 233RD ST  & WILDER AV,40.888783,-73.840133,Outdoor
38,C/O EDEN TERR/CRAWFORD AV,40.885284,-73.838521,Outdoor
39,PRATT AV 2/P/S/O SETON AV,40.886622,-73.83497,Outdoor
40,ON MAST ON ROOF,40.86473,-73.899037,Outdoor
41,W WING CORRIDOR DROP CEILING,40.86473,-73.899037,Indoor
42,ROOF MOUNTED  BACK LEFT SIDE,40.674013,-73.934698,Outdoor
43,ROOF MOUNTED  BACK RIGHT SIDE,40.67404,-73.935053,Outdoor
44,ROOF MOUNTED   RIGHT SIDE,40.673801,-73.935166,Outdoor
45,ROOF MOUNTED   LEFT  SIDE FRONT,40.67343,-73.93463,Outdoor
46,ROOF MOUNTED   LEFT  SIDE,40.673866,-73.934717,Outdoor
47,GYM WALL,40.673805,-73.934785,Indoor
48,ACTIVITY ROOM,40.673781,-73.935109,Indoor
49,MUSIC ROOM,40.673755,-73.935014,Indoor
